Date,Open,High,Low,Close,Volume
12/05/2025,"308.59","311.83","307.18","307.94","2,344,667"
12/04/2025,"302.88","309.61","302.54","307.99","2,962,463"
12/03/2025,"302.88","303.97","298.91","302.62","3,953,390"
12/02/2025,"307.00","310.47","301.57","301.78","4,261,100"
12/01/2025,"306.51","307.12","302.80","305.67","3,151,350"
11/28/2025,"304.06","309.18","303.60","308.58","1,688,820"
11/26/2025,"305.18","306.60","301.64","303.21","2,196,446"
11/25/2025,"304.13","306.00","297.06","304.48","2,825,322"
11/24/2025,"299.18","307.18","297.51","304.12","6,050,640"
11/21/2025,"293.48","300.48","291.89","297.44","5,710,903"
11/20/2025,"294.64","300.71","290.16","290.40","5,597,028"
11/19/2025,"290.50","291.11","288.07","288.53","3,595,912"
11/18/2025,"297.00","297.00","289.92","289.95","4,861,928"
11/17/2025,"305.59","306.00","296.51","297.17","3,909,741"
11/14/2025,"300.00","307.72","297.59","305.69","3,592,455"
11/13/2025,"312.29","314.60","303.68","304.86","5,310,150"
11/12/2025,"319.89","324.90","314.53","314.98","6,042,686"
11/11/2025,"309.00","317.91","308.43","313.72","4,381,913"
11/10/2025,"306.82","309.94","304.23","309.13","2,975,188"
11/07/2025,"309.68","310.00","302.63","306.38","5,070,773"
11/06/2025,"306.75","315.44","301.09","312.42","6,818,521"
11/05/2025,"301.38","307.20","299.71","306.77","4,650,368"
11/04/2025,"300.00","303.17","296.00","300.85","5,677,330"
11/03/2025,"308.00","312.14","304.23","304.73","4,957,958"
10/31/2025,"312.00","313.50","301.63","307.41","7,697,499"
10/30/2025,"306.65","313.75","305.02","310.06","4,694,275"
10/29/2025,"312.79","314.33","307.52","308.21","4,135,948"
10/28/2025,"312.60","319.35","311.41","312.57","6,044,770"
10/27/2025,"307.80","313.50","302.88","313.09","9,868,151"
10/24/2025,"283.77","310.75","282.21","307.46","16,914,240"
10/23/2025,"264.95","285.58","263.56","285.00","16,676,391"
10/22/2025,"281.99","289.17","281.35","287.51","10,538,480"
10/21/2025,"283.31","285.31","281.60","282.05","4,080,981"
10/20/2025,"281.25","285.50","280.96","283.65","3,494,336"
10/17/2025,"276.15","283.40","275.35","281.28","5,309,565"
10/16/2025,"281.11","282.56","275.60","275.97","2,956,923"
10/15/2025,"278.38","285.45","277.00","280.75","3,346,753"
10/14/2025,"275.52","277.53","272.55","276.15","3,058,149"
10/13/2025,"279.79","282.44","274.64","277.22","4,333,836"
10/10/2025,"288.97","290.39","277.50","277.82","4,508,506"
10/09/2025,"289.82","290.13","283.32","288.23","4,912,375"
10/08/2025,"294.16","294.20","286.47","289.46","5,297,030"
10/07/2025,"295.55","301.04","293.29","293.87","7,190,126"
10/06/2025,"288.61","291.45","287.80","289.42","2,881,947"
10/03/2025,"287.50","293.32","287.30","288.37","4,375,082"
10/02/2025,"285.79","288.54","282.79","286.72","3,814,232"
10/01/2025,"280.20","286.59","280.15","286.49","4,381,338"
09/30/2025,"280.88","286.03","280.52","282.16","5,926,924"
09/29/2025,"286.00","286.00","279.66","279.80","6,022,125"
09/26/2025,"280.51","288.85","280.11","284.31","9,063,938"
09/25/2025,"272.94","284.23","271.15","281.44","11,506,190"
09/24/2025,"272.62","273.65","267.30","267.53","3,159,924"
09/23/2025,"272.70","273.30","269.27","272.24","5,394,121"
09/22/2025,"266.62","272.31","266.00","271.37","5,030,540"
09/19/2025,"266.05","267.87","263.64","266.40","9,858,112"
09/18/2025,"258.86","265.23","256.80","265.00","4,988,421"
09/17/2025,"257.50","260.96","257.01","259.08","3,974,785"
09/16/2025,"256.26","258.00","254.41","257.52","2,719,918"
09/15/2025,"254.02","259.05","254.00","256.24","4,028,365"
09/12/2025,"256.95","257.25","252.43","253.44","3,433,300"
09/11/2025,"257.56","258.55","255.66","257.01","3,576,048"
09/10/2025,"259.65","260.08","254.56","256.88","5,185,420"
09/09/2025,"256.12","260.66","254.88","259.11","4,931,105"
09/08/2025,"248.63","257.15","247.02","256.09","6,940,270"
09/05/2025,"248.23","249.03","245.45","248.53","3,147,478"
09/04/2025,"245.42","249.28","242.85","247.18","4,765,087"
09/03/2025,"240.02","244.25","239.41","244.10","3,163,225"
09/02/2025,"240.90","241.55","238.25","241.50","3,469,501"
08/29/2025,"245.23","245.46","241.72","243.49","2,967,558"
08/28/2025,"245.43","245.88","243.36","245.73","2,820,817"
08/27/2025,"242.87","245.96","242.00","244.84","3,698,372"
08/26/2025,"241.02","244.98","240.38","242.63","5,386,582"
08/25/2025,"242.57","242.57","239.43","239.43","3,513,327"
